,date
1034,211031
1035,211101
1036,211102
1037,211103
1038,211104
1039,211105
1040,211106
1041,211107
1042,211108
1043,211109
1044,211110
1045,211111
1046,211112
1047,211113
1048,211114
1049,211115
1050,211116
1053,211119
1054,211120
1055,211121
1056,211122
1057,211123
1058,211124
1059,211125
1060,211126
1061,211127
1062,211128
1063,211129
1064,211130
1065,211201
1066,211202
1067,211203
1068,211204
1069,211205
1070,211206
1071,211207
1072,211208
1073,211209
1074,211210
1075,211211
1076,211212
1077,211213
1078,211214
1079,211215
1080,211216
1081,211217
1082,211218
1083,211219
1084,211220
1085,211221
1086,211222
1087,211223
1088,211224
1089,211225
1090,211226
1091,211227
1092,211228
1093,211229
1094,211230
1095,211231
1096,220101
1097,220102
1098,220103
1099,220104
1100,220105
1101,220106
1102,220107
1103,220108
1104,220109
1105,220110
1106,220111
1107,220112
1108,220113
1109,220114
1110,220115
1111,220116
1112,220117
1113,220118
1114,220119
1115,220120
1116,220121
1117,220122
1118,220123
1119,220124
1120,220125
1121,220126
1122,220127
1123,220128
1124,220129
1125,220130
1126,220131
1127,220201
1128,220202
1129,220203
1130,220204
1131,220205
1132,220206
1133,220207
1134,220208
1135,220209
1136,220210
1137,220211
1138,220212
1139,220213
1140,220214
1141,220215
1142,220216
1143,220217
1144,220218
1145,220219
1146,220220
1147,220221
1148,220222
1149,220223
1150,220224
1151,220225
1152,220226
1153,220227
1154,220228
1155,220301
1156,220302
1158,220304
1159,220305
1160,220306
1161,220307
1162,220308
1163,220309
1164,220310
1165,220311
1166,220312
1167,220313
1168,220314
1169,220315
1170,220316
1171,220317
1172,220318
1173,220319
1174,220320
1175,220321
1176,220322
1177,220323
1178,220324
1179,220325
1180,220326
1181,220327
1182,220328
1183,220329
1184,220330
1185,220331
1186,220401
1187,220402
1188,220403
1189,220404
1190,220405
1191,220406
1192,220407
1193,220408
1194,220409
1195,220410
1196,220411
1197,220412
1198,220413
1199,220414
1200,220415
1201,220416
1202,220417
1203,220418
1204,220419
1205,220420
1206,220421
1207,220422
1208,220423
1209,220424
1211,220426
1212,220427
1213,220428
1214,220429
1215,220430
1216,220501
1217,220502
1218,220503
1219,220504
1220,220505
1221,220506
1222,220507
1223,220508
1224,220509
1225,220510
1226,220511
1227,220512
1228,220513
1229,220514
1230,220515
1231,220516
1232,220517
1233,220518
1234,220519
1235,220520
1236,220521
1237,220522
1238,220523
1239,220524
1240,220525
1241,220526
1242,220527
1243,220528
1244,220529
1245,220530
1246,220531
1247,220601
1248,220602
1249,220603
1250,220604
1251,220605
1252,220606
1253,220607
1254,220608
1255,220609
1256,220610
1257,220611
1258,220612
1259,220613
1260,220614
1261,220615
1262,220616
1263,220617
1264,220618
1265,220619
1266,220620
1267,220621
1268,220622
1269,220623
1270,220624
1271,220625
1272,220626
1273,220627
1274,220628
1275,220629
1276,220630
1277,220701
1278,220702
1279,220703
1280,220704
1281,220705
1282,220706
1283,220707
1284,220708
1285,220709
1286,220710
1287,220711
1288,220712
1289,220713
1290,220714
1291,220715
1292,220716
1293,220717
1294,220718
1295,220719
1296,220720
1297,220721
1298,220722
1299,220723
1300,220724
1301,220725
1302,220726
1303,220727
1304,220728
1305,220729
1306,220730
1307,220731
1308,220801
1309,220802
1310,220803
1311,220804
1312,220805
1313,220806
1314,220807
1315,220808
1316,220809
1317,220810
1318,220811
1319,220812
1320,220813
1321,220814
1322,220815
1323,220816
1324,220817
1325,220818
1326,220819
1327,220820
1328,220821
1329,220822
1330,220823
1331,220824
1332,220825
1333,220826
1334,220827
1335,220828
1336,220829
1337,220830
1338,220831
1339,220901
1340,220902
1341,220903
1342,220904
1343,220905
1344,220906
1345,220907
1346,220908
1347,220909
1348,220910
1349,220911
1350,220912
1351,220913
1352,220914
1353,220915
1354,220916
1355,220917
1356,220918
1357,220919
1358,220920
1359,220921
1360,220922
1361,220923
1362,220924
1363,220925
1364,220926
1365,220927
1366,220928
1367,220929
1368,220930
1369,221001
1370,221002
1371,221003
1372,221004
1373,221005
1374,221006
1375,221007
1376,221008
1377,221009
1378,221010
1379,221011
1380,221012
1381,221013
1382,221014
1383,221015
1384,221016
1385,221017
1386,221018
1387,221019
1388,221020
1389,221021
1390,221022
1391,221023
1392,221024
1393,221025
1394,221026
1395,221027
1396,221028
1397,221029
1398,221030
1399,221031
1400,221101
1401,221102
1402,221103
1403,221104
1404,221105
1405,221106
1406,221107
1407,221108
1408,221109
1409,221110
1410,221111
1411,221112
1412,221113
1413,221114
1414,221115
1415,221116
1416,221117
1417,221118
1418,221119
1419,221120
1420,221121
1421,221122
1422,221123
1423,221124
1424,221125
1425,221126
1426,221127
1427,221128
1428,221129
1429,221130
1430,221201
1431,221202
1432,221203
1433,221204
1434,221205
1435,221206
1436,221207
1437,221208
1438,221209
1439,221210
1441,221212
1442,221213
1443,221214
1444,221215
1445,221216
1446,221217
1447,221218
1448,221219
1449,221220
1450,221221
1451,221222
1452,221223
1453,221224
1454,221225
1455,221226
1456,221227
1457,221228
1458,221229
1459,221230
1460,221231
